Tw, K	dTliq, K	P, atm.	Ts, K	L, m	Rw, kg/m3	Cw, J/kg/K	Kw, W/m/K	Rl, kg/m3	Cl, J/kg/K	Kl, W/m/K	Ll, Pa*sec	Q, N/m	dH, J/kg	Tlim, K
4,750280E+2	8,651766E+0	1,000000E+0	3,518118E+2	2,500000E-2	4,506337E+3	5,060012E+2	2,246035E+1	8,180522E+2	3,310596E+3	1,934471E-1	6,241327E-4	1,794446E-2	9,731458E+5	4,696929E+2
4,762420E+2	8,651766E+0	1,000000E+0	3,518118E+2	2,500000E-2	4,506337E+3	5,060012E+2	2,246035E+1	8,180522E+2	3,310596E+3	1,934471E-1	6,241327E-4	1,794446E-2	9,731458E+5	4,696929E+2
7,155950E+2	7,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	4,502572E+3	5,184197E+2	2,211614E+1	8,944005E+2	3,240211E+3	2,590008E-1	1,081182E-3	2,172368E-2	1,134837E+6	4,928235E+2
7,380890E+2	7,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	4,502572E+3	5,184197E+2	2,211614E+1	8,944005E+2	3,240211E+3	2,590008E-1	1,081182E-3	2,172368E-2	1,134837E+6	4,928235E+2
6,806660E+2	5,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	4,502572E+3	5,184197E+2	2,211614E+1	8,879460E+2	3,332083E+3	2,580696E-1	8,729273E-4	2,172368E-2	1,134837E+6	4,928235E+2
6,819960E+2	5,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	4,502572E+3	5,184197E+2	2,211614E+1	8,879460E+2	3,332083E+3	2,580696E-1	8,729273E-4	2,172368E-2	1,134837E+6	4,928235E+2
6,294540E+2	3,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	4,502572E+3	5,184197E+2	2,211614E+1	8,807926E+2	3,419112E+3	2,567638E-1	7,175187E-4	2,172368E-2	1,134837E+6	4,928235E+2
6,104220E+2	3,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	4,502572E+3	5,184197E+2	2,211614E+1	8,807926E+2	3,419112E+3	2,567638E-1	7,175187E-4	2,172368E-2	1,134837E+6	4,928235E+2
5,169980E+2	1,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	4,502572E+3	5,184197E+2	2,211614E+1	8,729106E+2	3,501398E+3	2,550718E-1	5,993756E-4	2,172368E-2	1,134837E+6	4,928235E+2
4,420540E+2	1,068401E+2	1,000000E+0	3,300001E+2	2,500000E-2	4,518911E+3	4,580815E+2	2,376912E+1	1,734866E+3	9,389989E+2	5,837055E-2	9,253656E-4	8,289191E-3	8,249410E+4	3,942066E+2
4,349870E+2	8,684013E+1	1,000000E+0	3,300001E+2	2,500000E-2	4,518911E+3	4,580815E+2	2,376912E+1	1,711330E+3	9,999698E+2	5,720242E-2	7,827790E-4	8,289191E-3	8,249410E+4	3,942066E+2
4,129430E+2	6,684013E+1	1,000000E+0	3,300001E+2	2,500000E-2	4,518911E+3	4,580815E+2	2,376912E+1	1,687267E+3	1,043364E+3	5,603430E-2	6,715617E-4	8,289191E-3	8,249410E+4	3,942066E+2
