Tw, K	dTliq, K	P, atm.	Ts, K	L, m	Rw, kg/m3	Cw, J/kg/K	Kw, W/m/K	Rl, kg/m3	Cl, J/kg/K	Kl, W/m/K	Ll, Pa*sec	Q, N/m	dH, J/kg	Tlim, K
4,150100E+2	4,684013E+1	1,000000E+0	3,300001E+2	2,500000E-2	7,839251E+3	4,876176E+2	1,697012E+1	1,662808E+3	1,070712E+3	5,486623E-2	5,835952E-4	8,289191E-3	8,249410E+4	3,942066E+2
3,998380E+2	2,684013E+1	1,000000E+0	3,300001E+2	2,500000E-2	7,839251E+3	4,876176E+2	1,697012E+1	1,638025E+3	1,085330E+3	5,369827E-2	5,135244E-4	8,289191E-3	8,249410E+4	3,942066E+2
4,678270E+2	1,077072E+2	1,000000E+0	3,508672E+2	2,500000E-2	8,939654E+3	4,609689E+2	9,563396E+1	8,061877E+2	2,609127E+3	1,727596E-1	1,348004E-3	1,587337E-2	8,791950E+5	4,533142E+2
4,564640E+2	8,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	8,939654E+3	4,609689E+2	9,563396E+1	7,989812E+2	2,729892E+3	1,706638E-1	1,097506E-3	1,587337E-2	8,791950E+5	4,533142E+2
4,485290E+2	6,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	8,939654E+3	4,609689E+2	9,563396E+1	7,912657E+2	2,848474E+3	1,686630E-1	9,037466E-4	1,587337E-2	8,791950E+5	4,533142E+2
4,274960E+2	2,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	8,939654E+3	4,609689E+2	9,563396E+1	7,736562E+2	3,074243E+3	1,646796E-1	6,306375E-4	1,587337E-2	8,791950E+5	4,533142E+2
8,191440E+2	6,942986E+1	1,000000E+0	3,725899E+2	2,500000E-2	8,880748E+3	4,846816E+2	8,263654E+1	9,805178E+2	4,185189E+3	6,565909E-1	4,326060E-4	5,900277E-2	2,262707E+6	5,633670E+2
8,938160E+2	5,942986E+1	1,000000E+0	3,725899E+2	2,500000E-2	8,880748E+3	4,846816E+2	8,263654E+1	9,780802E+2	4,187986E+3	6,608782E-1	4,030118E-4	5,900277E-2	2,262707E+6	5,633670E+2
6,764750E+2	4,942986E+1	1,000000E+0	3,725899E+2	2,500000E-2	8,880748E+3	4,846816E+2	8,263654E+1	9,754848E+2	4,191310E+3	6,647873E-1	3,768036E-4	5,900277E-2	2,262707E+6	5,633670E+2
6,371970E+2	3,942986E+1	1,000000E+0	3,725899E+2	2,500000E-2	8,880748E+3	4,846816E+2	8,263654E+1	9,727268E+2	4,195145E+3	6,683285E-1	3,534823E-4	5,900277E-2	2,262707E+6	5,633670E+2
5,741290E+2	9,429855E+0	1,000000E+0	3,725899E+2	2,500000E-2	8,880748E+3	4,846816E+2	8,263654E+1	9,634532E+2	4,209667E+3	6,768448E-1	2,970322E-4	5,900277E-2	2,262707E+6	5,633670E+2
5,835160E+2	9,429855E+0	1,000000E+0	3,725899E+2	2,500000E-2	8,880748E+3	4,846816E+2	8,263654E+1	9,634532E+2	4,209667E+3	6,768448E-1	2,970322E-4	5,900277E-2	2,262707E+6	5,633670E+2
5,461950E+2	-5,701450E-1	1,000000E+0	3,725899E+2	2,500000E-2	8,880748E+3	4,846816E+2	8,263654E+1	9,600272E+2	4,215518E+3	6,790121E-1	2,817480E-4	5,900277E-2	2,262707E+6	5,633670E+2
6,159310E+2	2,942986E+1	1,000000E+0	3,725899E+2	2,500000E-2	8,880748E+3	4,846816E+2	8,263654E+1	9,698032E+2	4,199484E+3	6,715121E-1	3,326337E-4	5,900277E-2	2,262707E+6	5,633670E+2
6,179090E+2	1,942986E+1	1,000000E+0	3,725899E+2	2,500000E-2	8,880748E+3	4,846816E+2	8,263654E+1	9,667122E+2	4,204325E+3	6,743478E-1	3,139132E-4	5,900277E-2	2,262707E+6	5,633670E+2
5,179880E+2	7,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	8,918423E+3	4,697401E+2	9,127817E+1	8,944005E+2	3,240211E+3	2,590008E-1	1,081182E-3	2,172368E-2	1,134837E+6	4,928235E+2
5,047090E+2	5,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	8,918423E+3	4,697401E+2	9,127817E+1	8,879460E+2	3,332083E+3	2,580696E-1	8,729273E-4	2,172368E-2	1,134837E+6	4,928235E+2
4,974720E+2	3,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	8,918423E+3	4,697401E+2	9,127817E+1	8,807926E+2	3,419112E+3	2,567638E-1	7,175187E-4	2,172368E-2	1,134837E+6	4,928235E+2
4,965180E+2	3,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	8,918423E+3	4,697401E+2	9,127817E+1	8,807926E+2	3,419112E+3	2,567638E-1	7,175187E-4	2,172368E-2	1,134837E+6	4,928235E+2
4,512280E+2	1,047019E+1	1,000000E+0	3,536302E+2	2,500000E-2	8,918423E+3	4,697401E+2	9,127817E+1	8,729106E+2	3,501398E+3	2,550718E-1	5,993756E-4	2,172368E-2	1,134837E+6	4,928235E+2
6,146960E+2	7,254716E+1	1,000000E+0	3,557072E+2	2,500000E-2	8,905777E+3	4,748441E+2	8,843385E+1	9,330827E+2	3,510260E+3	3,461515E-1	8,949395E-4	2,751946E-2	1,360967E+6	5,164731E+2
6,013610E+2	5,254716E+1	1,000000E+0	3,557072E+2	2,500000E-2	8,905777E+3	4,748441E+2	8,843385E+1	9,275410E+2	3,581246E+3	3,471725E-1	7,309925E-4	2,751946E-2	1,360967E+6	5,164731E+2
5,769070E+2	3,254716E+1	1,000000E+0	3,557072E+2	2,500000E-2	8,905777E+3	4,748441E+2	8,843385E+1	9,213507E+2	3,648111E+3	3,474814E-1	6,085358E-4	2,751946E-2	1,360967E+6	5,164731E+2
